iter     sigmaG  sigmaS  sigmaE  freq  a    d
1 0.04862 0.0001 4.286 0.3594 0.3954 0.5296 
6 0.1141 0.0001 4.31 0.5045 0.5067 0.7015 
11 0.05361 0.0001 4.058 0.5096 0.7113 0.8358 
16 0.0476 0.0001 4.384 0.361 1.161 0.8297 
21 0.1642 0.0001 4.156 0.2988 1.193 0.2692 
26 0.06966 0.0001 3.839 0.2257 0.9814 0.5215 
31 0.03581 0.0001 4.014 0.2323 0.9621 0.3485 
36 0.03905 0.0001 4.271 0.3129 1.077 0.2593 
41 0.1929 0.0001 4.017 0.2971 1.284 0.1401 
46 0.05354 0.0001 4.02 0.1924 0.8927 0.3351 
51 0.0777 0.0001 4.192 0.5088 1.054 0.5109 
56 0.06755 0.0001 4.04 0.5655 1.058 0.9645 
61 0.2498 0.0001 3.817 0.3659 1.35 0.7851 
66 0.498 0.0001 3.882 0.3913 1.22 1.068 
71 0.1177 0.0001 3.988 0.8648 1.215 0.6952 
76 0.1817 0.0001 4.449 0.98 1.497 0.9233 
81 0.1725 0.0001 3.954 0.7311 1.617 1.487 
86 0.2017 0.0001 3.862 0.577 1.679 1.997 
91 0.2764 0.0001 3.674 0.5438 1.305 1.827 
96 0.08703 0.0001 3.96 0.7296 1.388 1.318 
101 0.6454 0.0001 4.109 0.7354 1.636 1.759 
106 0.6013 0.0001 3.819 0.697 1.875 1.598 
111 0.2918 0.0001 3.572 0.479 2.372 1.527 
116 0.7408 0.0001 4.125 0.6236 2.083 2.199 
121 0.219 0.0001 4.138 0.5643 2.158 1.915 
126 0.3674 0.0001 4.06 0.7685 1.731 1.752 
131 0.3597 0.0001 3.934 0.6963 1.83 1.94 
136 0.1419 0.0001 4.013 0.7487 1.958 1.414 
141 0.1668 0.0001 3.91 0.7107 1.553 1.209 
146 0.2545 0.0001 4.242 0.5271 1.392 1.577 
151 0.1886 0.0001 4.144 0.4788 1.923 1.57 
156 0.1517 0.0001 3.779 0.6604 1.846 1.853 
161 0.1146 0.0001 4.184 0.7417 1.393 2.153 
166 0.2571 0.0001 4.315 0.8513 1.912 1.815 
171 0.07454 0.0001 3.941 0.9077 1.541 2.204 
176 0.3775 0.0001 4.261 0.6801 1.864 2.22 
181 0.3712 0.0001 3.941 0.8079 2.14 2.656 
186 0.1576 0.0001 3.916 0.6917 2.067 2.719 
191 0.1637 0.0001 4.565 0.781 2.437 2.377 
196 0.2553 0.0001 4.055 0.6955 2.818 2.896 
