iter     g1     g2     g3     g4     g5
1 0.4259 0.2427 -0.3272 -0.01051 -0.3358 
6 0.2334 0.1561 -0.428 -0.01537 -0.3425 
11 0.2513 0.1954 -0.2604 -0.2405 0.09634 
16 0.1928 0.1586 0.05925 0.01156 0.2247 
21 0.2335 0.3655 0.1653 -0.1262 0.1266 
26 0.1813 0.4297 -0.1502 0.005531 0.1915 
31 0.1364 0.2579 -0.05891 -0.01809 -0.0007535 
36 0.2827 0.2354 -0.1944 -0.06033 0.0935 
41 -0.01905 0.1823 -0.08593 -0.3052 0.2129 
46 0.2025 0.007983 -0.2852 -0.1829 -0.3866 
51 0.2026 0.1212 -0.06829 -0.1018 -0.05952 
56 0.3073 0.1363 -0.3449 -0.0806 -0.02221 
61 0.6153 0.4336 -0.2021 0.366 0.4049 
66 0.6002 0.5463 -0.384 0.07639 -0.7273 
71 0.5706 0.5299 -0.2611 -0.3779 -0.7475 
76 0.6741 0.426 -0.7115 -0.266 -0.3473 
81 0.2699 0.1863 -0.8395 -0.08933 -0.5009 
86 0.01226 0.0633 -1.078 -0.3793 -0.6963 
91 0.2151 0.07413 -1.033 -0.06595 -0.5831 
96 0.211 -0.05737 -0.8507 -0.257 -0.516 
101 0.02132 0.008695 -1.232 -0.6124 -0.636 
106 0.08412 0.004131 -1.313 -0.4881 -0.6348 
111 0.4359 0.2515 -1.355 -0.7737 -0.6247 
116 -0.04105 -0.08204 -1.307 -0.4216 -0.5342 
121 0.2137 0.1536 -0.9936 -0.6591 -0.4165 
126 0.4094 0.5769 -0.7527 -0.4996 -0.2709 
131 0.6689 0.2735 -1.229 -0.1148 0.03231 
136 0.3903 0.4648 -0.799 -0.1973 -0.2363 
141 0.7173 0.78 -0.8652 -0.1483 0.05065 
146 0.4991 0.3002 -0.7068 0.3437 -0.08272 
151 0.2601 0.3334 -0.8917 -0.2438 -0.3354 
156 0.6275 0.2233 -1.057 -0.2627 -0.2987 
161 0.1081 0.1307 -0.4964 -0.1717 -0.6464 
166 0.3654 0.2163 -0.9419 -0.3748 -0.767 
171 0.3513 0.1334 -0.8094 -0.1361 -0.2379 
176 0.07862 -0.211 -0.8743 -0.3677 -0.6891 
181 0.03091 -0.1169 -0.7118 -0.3004 -0.8356 
186 0.158 0.2512 -0.6902 -0.4393 -1.066 
191 0.3719 0.1865 -0.5776 -0.4833 -0.7445 
196 0.2801 0.08985 -0.9561 -0.4151 -0.6064 
201 0.2115 -0.102 -0.6644 -0.4423 -0.9441 
206 -0.07071 0.1266 -0.6623 -0.3771 -0.8833 
211 0.1338 0.0199 -0.5799 -0.2375 -0.4429 
216 0.3566 0.3815 -0.1949 0.05975 -0.3412 
221 0.3222 0.2023 -0.6362 -0.1148 -0.3201 
226 0.1405 0.1113 -0.6457 0.04054 -0.3354 
231 0.4067 0.3512 -0.511 -0.2179 -0.2424 
236 0.3076 0.07117 -0.3375 -0.07579 -0.2565 
241 -0.0429 0.2412 -0.3145 -0.03823 -0.133 
246 0.2596 0.1499 -0.1146 -0.01145 -0.4062 
251 0.1949 0.09138 -0.1582 0.04846 -0.2697 
256 0.1057 0.05491 -0.8411 0.08689 -0.8841 
261 0.2373 0.08711 -0.745 -0.07848 -0.3967 
266 0.1348 0.4009 -0.4475 -0.02521 -0.5775 
271 0.6738 0.1235 -0.4015 -0.007345 -0.4756 
276 0.1258 0.2278 -0.4627 -0.07665 -0.7505 
281 -0.007467 -0.2446 -0.6232 -0.001157 -0.5906 
286 0.1641 0.3983 -0.6868 -0.1718 -0.6954 
291 0.1746 0.439 -1.091 -0.3735 -0.9215 
296 0.6722 0.6556 -0.9869 -0.4713 -0.9634 
301 0.7073 0.5771 -0.7272 -0.383 -0.7626 
306 0.6808 0.2734 -0.7721 -0.3201 -0.6045 
311 0.6278 0.2437 -0.924 -0.2585 -0.326 
316 0.4081 0.5196 -0.6469 -0.02054 -0.2448 
321 0.4692 0.4155 -0.6113 -0.1721 -0.6027 
326 0.4699 0.5686 -0.6786 -0.1471 -0.5741 
331 0.6032 0.5639 -0.4997 -0.165 -0.3384 
336 0.6414 0.5788 -0.644 -0.1338 -0.4713 
341 0.9283 0.6082 -0.3306 0.2232 -0.5376 
346 0.9908 0.799 -0.2832 -0.02716 -0.4819 
351 0.5761 0.8778 -0.5278 -0.01597 -0.2425 
356 0.5939 0.5225 -1.07 -0.3393 -0.009417 
361 0.5154 0.394 -1.03 -0.1299 -0.2156 
366 0.3773 0.28 -0.916 -0.1912 -0.1964 
